x,f(x)
0.0000, 0.0000
0.0100, 0.0184
0.0200, 0.0367
0.0300, 0.0550
0.0400, 0.0733
0.0500, 0.0916
0.0600, 0.1097
0.0700, 0.1278
0.0800, 0.1456
0.0900, 0.1632
0.1000, 0.1805
0.1100, 0.1975
0.1200, 0.2139
0.1300, 0.2298
0.1400, 0.2450
0.1500, 0.2594
0.1600, 0.2729
0.1700, 0.2853
0.1800, 0.2966
0.1900, 0.3067
0.2000, 0.3154
0.2100, 0.3227
0.2200, 0.3285
0.2300, 0.3328
0.2400, 0.3354
0.2500, 0.3364
0.2600, 0.3358
0.2700, 0.3336
0.2800, 0.3299
0.2900, 0.3247
0.3000, 0.3180
0.3100, 0.3100
0.3200, 0.3008
0.3300, 0.2906
0.3400, 0.2793
0.3500, 0.2673
0.3600, 0.2546
0.3700, 0.2414
0.3800, 0.2278
0.3900, 0.2140
0.4000, 0.2001
0.4100, 0.1862
0.4200, 0.1726
0.4300, 0.1591
0.4400, 0.1461
0.4500, 0.1335
0.4600, 0.1215
0.4700, 0.1100
0.4800, 0.0992
0.4900, 0.0890
0.5000, 0.0795
0.5100, 0.0707
0.5200, 0.0626
0.5300, 0.0552
0.5400, 0.0485
0.5500, 0.0423
0.5600, 0.0368
0.5700, 0.0319
0.5800, 0.0275
0.5900, 0.0236
0.6000, 0.0202
0.6100, 0.0172
0.6200, 0.0146
0.6300, 0.0123
0.6400, 0.0103
0.6500, 0.0086
0.6600, 0.0072
0.6700, 0.0060
0.6800, 0.0049
0.6900, 0.0041
0.7000, 0.0033
0.7100, 0.0027
0.7200, 0.0022
0.7300, 0.0018
0.7400, 0.0014
0.7500, 0.0011
0.7600, 0.0009
0.7700, 0.0007
0.7800, 0.0006
0.7900, 0.0005
0.8000, 0.0004
0.8100, 0.0003
0.8200, 0.0002
0.8300, 0.0002
0.8400, 0.0001
0.8500, 0.0001
0.8600, 0.0001
0.8700, 0.0001
0.8800, 0.0000
0.8900, 0.0000
0.9000, 0.0000
0.9100, 0.0000
0.9200, 0.0000
0.9300, 0.0000
0.9400, 0.0000
0.9500, 0.0000
0.9600, 0.0000
0.9700, 0.0000
0.9800, 0.0000
0.9900, 0.0000
1.0000, 0.0000
